Clothing ID,Age,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,text
2,25,1,4,General,Tops,Sweaters,"title: Love, love, but way too big! [SEP] review: I so wanted to keep this, but the xs was even too big. i usually take an xs/s petite and thought i could get away with the xs of this. it is just too big. so sad to be returning it, wish it came in an xxs or petite."
2,26,0,1,General,Tops,Sweaters,"title: Looks good but for specific sizes [SEP] review: I am curvy and this top, while stylish and i love the pockets, just didn't do it for me. it made my shoulders look wider than they are, which is a big no no. it would probably look better on someone with smaller shoulders or slimmer. the wool was also a tad itchy - not too itchy, just a bit. in general i don't wear wool without cashmere, i also don't wear non-italian wool because it is a bit rough and my skin reacts to it. so i stick to wool cashmere blend or loro piana soft wool. this sweater s"
2,33,1,0,General,Tops,Sweaters,title: Beautiful piece; runs large! [SEP] review: This jacket is beautiful and easily dresses an outfit up and can just as easily be dressed down and worn casually. i consistently wear a size 8/10/m and have this piece in xs. the reviews do not lie - size down!
2,35,1,1,General,Tops,Sweaters,"title: Well made, but doesn't always like to stay put [SEP] review: This is well made and beautiful, but it sometimes slides off so i feel like i'm adjusting it somewhat regularly."
2,38,1,0,General,Tops,Sweaters,"title: Amazing find! [SEP] review: I can?t describe my love for this sweater! simple, to go outfit paired with jeans and boots, it?s an easy go-to sweater in a pinch on a cold day. i have sensitive skin, so i wore a tank underneath and was fine. loved getting this sweater with the extra 40% sale price! i purchased the medium (2) and it was tts."
2,41,1,3,General,Tops,Sweaters,"title: Best suited as a beach cover-up [SEP] review: I am tall and typically wear a size 10/12, so i thought i could pull this off even if it was large as the other review noted. but the thing about this piece is that it is more of a cover-up than a tunic. it fits like a poncho. with my arms at my sides, it fit me similar to the model picture. but if i lift my arms (to use them), then it looks like i am wearing a dress that is designed for someone twice as large as me. the reason for that is that it doesn't really have sleeves - it's more like hol"
2,42,0,0,General,Tops,Sweaters,"title: Cropped and boxy [SEP] review: It is a beautiful sweater, but it is cropped and boxy."
2,46,0,10,General,Tops,Sweaters,"title: Ribbed lace hem pullover [SEP] review: The front and back of this square sweater are the same, and the pattern of the stitching makes it look like it's on backwards.the lace would be nice, but it's itchy. and the sweater is cropped, so i think the layered lace look is odd because the whole thing is so short on the body. the 3/4 sleeves make it look small and fitted, but the body shape is bulky. just couldn't get it to work."
2,48,1,1,General,Tops,Sweaters,"title: Very pretty but very itchy [SEP] review: Like the first reviewer, i love the color and look, and agree that it is much longer and wider than it looks in the photo. i am 5'3"" 116lb and ordered a small. i was planning to wear it tucked into palazzo pants as the model seems to have done, but they must have used some other way to gather up the sweater in back because there is no way such volumes of material can be tucked into anything. and the metallic threads are itchy, so i had to finally layer a full sleeve tee under it to be able to st"
2,53,1,0,General,Tops,Sweaters,"title: Unique [SEP] review: This sweater is very comfortable and soft. unlike other reviewer, i did not find the lace to be itchy. i'm 5'4"", usually size 6; decided to order medium to give it a nice and relaxing feel. this way i find it to be not too short nor fitted. it's easy and relaxing but the lace makes it a little more dressy. not sure how it's going to handle the wash."
2,54,1,0,General,Tops,Sweaters,"title: Adorable but boxy [SEP] review: Really liked the color but the style was too cropped and boxy for me. this sweater was short, wide and unflattering. however, i like this designer so i ordered another style with a different silhouette."
2,54,0,0,General,Tops,Sweaters,title: Oversized and itchy [SEP] review: The small is huge on me and the sweater is very itchy. cute idea but not for me. i will return it.
2,54,1,2,General,Tops,Sweaters,"title: Unique neckline and swingy shape merino knit [SEP] review: The neckline is beautiful, whether pulled forward or slipping back. the pure merino knit is very fine with the two front panels cut on the bias. raglan sleeves with high armholes. it is a tiny bit itchy, and normally i'm not too sensitive, but that may improve with a handwash in eucalan or something similar.
.
fit for size xs on 5'2"", currently 33-25-37 (30d or 32c bra) with narrow shoulders and torso:
snug at the shoulders, but as it is a pure merino knit, it does stretch. the front length just"
2,56,1,3,General,Tops,Sweaters,title: Not what i expected [SEP] review: The description doesn't indicate the metallic thread throughout the design. you cannot tell from the pix either. it's also a really strange design with the arm holes being almost the entire length of the sweater. can't decide if i want to keep it or return it.
2,60,1,1,General,Tops,Sweaters,title: Wear it and receive lots of compliments. [SEP] review: I wore it belted with a close fitting cami beneath because the sweater is open down both sides. be creative and wear it different ways.
2,62,1,3,General,Tops,Sweaters,title: Wonderful! [SEP] review: I am so surprised this was not styled properly in the photo! if worn the way it should be worn it would have sold out before going on sale. yes it is open down each side but you need to slide a belt inside the back so the back is left full and bring the belt out into the front on sides cinching in the front...making this a dramaticly gorgeous piece! i love it and will wear it with my leather jeans to pencil skirt. i am a personal stylist and designer and if you are thinking about this piece jump
2,74,0,6,General,Tops,Sweaters,title: Tunic [SEP] review: This top is well made and would be cute but huge. this top has no shape and is way big. back this goes.j
2,75,0,1,General,Tops,Sweaters,"title: Dissapointed [SEP] review: I love the ethnic colors & the creative woven design of this garment. that's what attracted me in the first place. however, some of the metallic threads had snagged & i thought the loose weave & acrylic yarns would lead to more snags & it would eventually stretch out of shape. also, it's very big. too bad it doesn't come smaller. in the online picture, it must have been gathered & clipped behind the model because it really doesn't fit close like that & the long armholes are not visible online as"
3,19,1,0,General,Dresses,Dresses,title: none [SEP] review: This dress is so pretty!! the second i saw it i knew i had to have it. make sure to get a smaller size because it can be a little big towards the waist as a result of the dress' design.
3,25,1,2,General,Dresses,Dresses,"title: So beautiful! [SEP] review: This dress is just absolutely adorable! you can dress it up and wear it to a wedding, or you can dress it down and slip on a pair of sandals and use it as a casual summer dress! this dress does run a tad bit large - i'm usually a size 4 but the size 4 was slightly too big for me. best purchase yet!"
3,26,1,0,General,Dresses,Dresses,title: Beautiful and unique dress [SEP] review: I purchased this dress for my bridal shower and it was perfect! the details on it are amazing-delicate and lovely! i am 5'11'' and it hit just above my ankles which i loved because i could show off my shoes!
3,28,1,1,General,Dresses,Dresses,"title: none [SEP] review: I was looking for a dress for my engagement pictures and once i saw this dress i knew it was the one! i ordered the white in a small (size 2) i am 5'4 130lbs. it fits perfect and the length is just right. some reviews said it's boxy and has too much flow to it but if you have the right size it won't be an issue! yes, it's a lace dress so it's going to be delicate and you'll need to handle with care. but it's worth it, absolutely stunning!"
3,31,1,2,General,Dresses,Dresses,"title: High quality one of a kind piece [SEP] review: This dress had my attention immediately online, but in person it was even prettier. i would not say the colors are very ""pink"" as the color selection indicates, rather browns (with possible pink undertones) and yellows, and even a splash of dark green in the print here and there. there isn't a ton of give or stretch to the fabric so a larger chest may need to size up. i am 5'5"", 135lbs, 34c, curvy/muscular frame and the size 4 fit just right (though i don't have a ton of extra room in the chest"
3,31,0,6,General,Dresses,Dresses,"title: Pretty but.... [SEP] review: The lace and fit were good. but the length seemed awkward to me given how boxy and flowy-ish the dress is. it felt like a baby doll with sleeves or something. and i hated the ""outside"" middle material, hated it. it felt cheap and odd when compared to the lace. maybe i was just not in the right demographic for this piece."
3,32,0,0,General,Dresses,Dresses,title: So disappointed :( [SEP] review: none
3,33,0,1,General,Dresses,Dresses,title: Adorable!!! however... [SEP] review: none
3,34,1,0,General,Dresses,Dresses,"title: Beautiful dress! [SEP] review: I have had my eye on this dress since the spring (in yellow), but it sold out quickly. i jumped on this dress as soon as i saw it come out in different colors this fall! i purchased the peach color and it is really lovely. i will be wearing this dress for family photos. the lace and the details are so very pretty! i am usually a size 0 or 2, and purchased in size 2 since there is no stretch to it. it is a beautiful dress and i highly recommend it! wish it came in white!"
3,34,1,0,General,Dresses,Dresses,"title: Cute but not worth the price [SEP] review: Cute dress, runs small, especially in the sleeves and chest (i usually wear a 0 and purchased a 2). the outer layer is very sheer and while the print and shape are cute, the quality could be better, especially for the price."
3,34,1,1,General,Dresses,Dresses,"title: Gorgeous dress [SEP] review: This dress is gorgeous! the color is perfect for spring/summer. the dress does run wide/loose. i read reviews before ordering and i am glad that i did. i am usually a petite size, but the reviews recommended going with the regular due to length and the design at the bottom (and wanting to be able to bend over comfortably). i am 5'2 and about 116lbs. i ordered the 2 regular and it worked well. i received many compliments!"
3,34,1,0,General,Dresses,Dresses,"title: Lovely dress if you are small chested [SEP] review: I fell in love with this dress online. i listened to the reviews and ordered a size up. i got it in the mail and couldn't wait to try it on! i was sad that to find, that while it was tight across the chest and the keyhole in the back seemed to pull, it was really large in the body. in addition, while the lace is beautiful it is very fragile. i still think this is a great dress but definitely for someone who is small chested. for reference i am a 32dd and size 2-4 and i ordered a medium."
3,34,1,0,General,Dresses,Dresses,"title: Pretty details [SEP] review: I got this in blush pink and the details are very pretty. the dress is wide, might have a tailor bring it in on the sides, but its very comfortable and i like that it covers my arms a bit, but still keeps you cool."
3,34,1,3,General,Dresses,Dresses,title: The dream dress! [SEP] review: I just discovered this dress a few days ago and it's simply dreamy!! i'd been searching for the perfect summer dress to wear to a wedding in june but had been highly disappointed in the selection of pastel colors from other shops. this dress is the perfect summer shade and will be perfect for the texas heat in june! i absolutely love how it flows and is elegant yet modest. the lace cut-outs are gorgeous!
3,34,1,0,General,Dresses,Dresses,title: none [SEP] review: none
3,35,1,0,General,Dresses,Dresses,"title: Love this dress! [SEP] review: I am 5ft 8in and about 140lbs-athletic busty build. i normally wear a size 4-6. i ordered this dress in white in a size 6 and couldn't be more pleased! i actually hopped online today to try to order another in the lilac but they are unfortunately sold out. this dress is exactly as pictured-the upper back is fitted, keeping it from going out too much and looking like a straight up tent. i adore it and hope that they will re-stock it!"
3,35,1,0,General,Dresses,Dresses,title: none [SEP] review: none
3,37,0,0,General,Dresses,Dresses,"title: Great concept, poor execution [SEP] review: I really like this dress/shirt. it's great for layering, super cute and will hide my traditional holiday and this year's pregnancy weight gain. i think it will be so cute with some leggings and boots.

unfortunately the back panel of the dress does not seem to vary based on the size. this may sound weird but i've tried on an 8 and a 10 and the ability to reach forward didn't change between the two sizes. i just returned the 10 and am hopeful the 12 i ordered will be slightly roomier in the back."
3,37,1,0,General,Dresses,Dresses,title: none [SEP] review: none
3,38,1,0,General,Dresses,Dresses,title: Beautiful [SEP] review: This dress is beautiful just like the picture. it fits true to size and is quite comfortable considering it is on the delicate side. definitely recommend this one!
3,38,1,2,General,Dresses,Dresses,"title: Better for smaller chest [SEP] review: Tried this dress on in the store and could barely button at my chest but the waist and length were perfect. ordered a size up and two sizes up online. went with the two sizes up because it did not pull as bad across the chest, though now it's a bit ""blousey"" around the waste. fabric is a little thin. similar to other reviews the slip is a little weird/wonky. i'm keeping it because i like the idea of the dress but i'm not sure about the lifespan with how gauzy the material is."
3,38,1,1,General,Dresses,Dresses,"title: Fun, flirty but snug up top [SEP] review: I'm keeping this cute and fun dress but i agree that the top is tricky if you have a larger bust or shoulders. i got my tts 6 and am a 32dd with broad shoulders and can wear it but it's snug. the top would probably look better in an 8 but there's so much volume below, i kept the 6. i'm 5'7"" and thought it was short but just fine for anything other than a professional setting. i have toddlers, so not the best dress for bending over, but fun for when i'm out and about on my own.

big compliments"
3,38,0,3,General,Dresses,Dresses,"title: So cute but tight! [SEP] review: I wanted to love this dress so much and am so sad - it just didn't work for me. i am 5'2"", 138 pounds (still trying to lose that last 5-8 from my third daughter) and the chest/back of this dress was so tight i was afraid if i hugged someone it would split up the back. i am normally a size 6 and tried the 6 p, 8 p and 8 and they were all too tight in the chest/back. it sounds like this is common for these holding horses dresses. :("
3,39,1,0,General,Dresses,Dresses,title: Is this really black? [SEP] review: none
3,39,1,0,General,Dresses,Dresses,"title: My life is finally complete [SEP] review: Now that i have this dress in my life i think my wardrobe is done.  there is nothing but love for this dress as it hits all the correct points:  great fit, flattering silhouette, comfortable fabric, shape enhancing cut, and the easiest casual style ever!  i got the 10p and my body is 5'3"" 140# 36dd"
3,40,1,0,General,Dresses,Dresses,title: Sweet dress [SEP] review: This is an awesome go to for dressy or casual! wore it with booties for a dinner and flats for temple and was perfect for both! lace is a little delicate but worth the extra care!
3,41,1,0,General,Dresses,Dresses,"title: Way too tight in the arms. don't size down! [SEP] review: I just got this tunic last night and was excited to try it on. i could barely get it over my shoulders and once i did, it was immediately apparent that it was very tight under the arms and in the shoulders. i usually wear a 12 but listened to all the other reviewers and sized down to a 10. the 10 shoulder seams were significantly narrower than i would have expected. i don't think even a 12 would have been large enough in the shoulders.

very bummed, but yet i wasn't drawn to the colors in pers"
3,42,1,6,General,Dresses,Dresses,"title: Beautiful! [SEP] review: Beautiful dress! excellent detail! loved everything about this dress except for the weight. this dress is very heavy which limits my wearing options in fl. given the fabric, this is a great special occasion dress."
3,42,1,0,General,Dresses,Dresses,"title: Size down! [SEP] review: This has a heftier fabric than seems to be in the picture online. i wish it were the same fabric as the fringed chambray dress. that, coupled with it being cut very generously, and the hip placement of the bulky pocket fabric, causes it to look quite thick and dumpy unless you pin your elbows in to show where your waist is.  i usually wear a 4-6, and bought the 2. i'm returning it for a 0 petite and see how that goes.  i love it, so i'm hoping that causes the fit to appear more as it does on the"
3,43,1,0,General,Dresses,Dresses,"title: Wish it was a different color [SEP] review: I loved this dress when it came out this summer but it quickly became impossible to get. i snagged up this one as quickly as i could when it came out. i don't really love any of the fall colors it was offered in, but for this one - i would say it is much more rust and less orange in person."
3,44,1,7,General,Dresses,Dresses,"title: Great dress [SEP] review: I bought this dress after i had overnighted a different one and it wasn't going to be delivered on time. i'm so happy that i bought this dress. its so comfortable and easy to wear. i got lots of compliments on it.
it runs very large though. i ended up with a size 6. i initially tried on the 10, as i have a larger chest. the 6 still had plenty of room."
3,48,1,0,General,Dresses,Dresses,"title: Unique style, with comfy fit [SEP] review: This dress definitely runs large, so i ordered it through my local store, in order to get a size that would fit. i ordered one size down, but could have gone down 2. i love the embroidered design. i just wore the dress to a slovak festival, yesterday, and it fit right in :-) very comfortable, and fun to wear."
3,49,1,2,General,Dresses,Dresses,"title: Big wow factor [SEP] review: I was uncertain about purchasing this dress. wow so glad that i did. i'm 5'5"" and 138lbs. i can wear a small or medium so i ordered both. the small was plenty big enough. wore it to a family event and received numerous compliments. so different from anything else and classy with the longer length. thanks for a great dress! i hope that it cleans well!"
3,49,0,5,General,Dresses,Dresses,"title: This dress is huge [SEP] review: I saw this dress online and loved the colors and whimsical embroidery . i thought it would be the perfect dress to wear on the weekend with cute sandals. i was excited when the dress arrived in the mail as the colors were vibrant and the material was soft and cozy. unfortunately this dress is huge. it is a rectangle with pockets. i bought the xxsp, my usual size and this dress was so big my sister was able to fit in it with me.this dress was beyond alterations. too bad it was a great idea but no"
3,51,0,2,General,Dresses,Dresses,title: Shapeless tent [SEP] review: I tried this on in the store and it was huge. i couldn't try on a smaller size because they only had a 2 and 4. i tried on my usual size 12. i don't think the embroidery is as pretty in person either. definitely not worth the price.
3,52,1,0,General,Dresses,Dresses,"title: Pretty in plaid [SEP] review: Dress runs a little small in the arms but flows nicely on the body. see through and comes with slip but slip is stiff and doesn't give. was hard to get on so i wore my own slip. other that that, dress is feminine and looks great on!"
3,54,1,3,General,Dresses,Dresses,"title: Love it! [SEP] review: This dress is gorgeous in person, soft and wonderfully comfortable with two large pockets. it also comes with a cotton knit slip for added swing. i bought at size 6 which was two sizes smaller than my normal size 10 in retailer dresses. i have worn twice and each time 2 random strangers have complimented it. it dry cleaned beautifully and it is really fun to wear. the model is shows the neck wide open but it is very cute tied in a little bow. expensive maybe, but well worth it."
3,54,1,0,General,Dresses,Dresses,"title: Sassy maxi [SEP] review: I""m not crazy about maxi dresses so when i found this fun print with fringe-it spoke my language. love this dress. feel this dress will work with many seasons. dress falls nicely and feels comfortable. i was worried it would be too long but with a 2 inch heel-its perfect. have paired it with some red dangled earrings that spice it just right."
3,56,1,0,General,Dresses,Dresses,"title: Great find. [SEP] review: This dress has special written all over it. the poms at the hem and bodice, as well as the rows of black seed beads push are the kind of details that stand out. i like all the varying textures. it looks great with sandals or short boots. fits true to size. a nice sassy length."
3,62,1,35,General,Dresses,Dresses,"title: Gorgeous but overpriced [SEP] review: I saw this in stores and ran right up to it because of the gorgeous embroidery work and vivid colors - unfortunately those bright colors are totally washed out in the online model pics...barely recognizable! the fabric itself is super soft and not at all stiff, plus it has pockets! i can see this looking great with leggings and boots, but the sleeves flared a little too much which i think would add bulk under a cardigan, so it might not carry as far into cooler months as i would like. my usual s"
3,62,1,0,General,Dresses,Dresses,"title: Tricky but cute [SEP] review: I was immediately drawn to this dress when i saw it in the store. i'm normally a size 2 but i feel like the size two was too constricting in the chest and arms, so found a size 4 to be just right. it's longer and a bit wider than the size 2 everywhere else, but given the design, i thought it was fine. the main thing to note is that the top is snug and has no give whatsoever. if you have a larger bust or broader shoulders, sizing up is a must. lengthwise, it fit me like it does on the model. (i t"
3,66,1,1,General,Dresses,Dresses,"title: So pretty and unique, but runs very large [SEP] review: This dress is really beautiful in person. it comes with a spaghetti strap clingy cotton slip underneath. it runs at least 2 sizes large. i tried my usual size 6 and needed to go down to a zero."
3,68,1,0,General,Dresses,Dresses,"title: Runs really large [SEP] review: I'm glad i red the reviews before ordering and sized down. for reference, i am 5'7"" and generally a size 8 or m in dresses. the small in this piece fits loosely in a flattering way, but a medium would have swallowed me. otherwise, it's a great, casual piece. the material is light and soft, and it's cute over leggings."
3,68,1,0,General,Dresses,Dresses,"title: none [SEP] review: Like other reviewers, i'm glad i sized down. this is a cute tunic that is definitely great quality, lightweight chambray. i love that it has pockets, but they do puff a bit at my hips."
3,69,0,7,General,Dresses,Dresses,"title: none [SEP] review: I was so excited to get this dress. i need it for a wedding, and i thought i had hit the jackpot. the dress arrived with a small tear. the seams are puckered and badly seen.  for an almost $300.00 dress, the quality is terrible. i expect better from retailer. i'm so disappointed."
4,27,1,0,General,Dresses,Dresses,"title: Great purchase [SEP] review: I went back and forth on whether to purchase this dress, and i'm so glad i did. the fit was perfect. i'm always a little hesitant about long dresses since i'm 5'2"", but the petite length was perfect. the quality is great and the dress is so comfortable, but i feel elegant in it. i wore it for rehearsal dinner at my wedding and plan on wearing it again for a wedding next month."
4,28,1,0,General,Dresses,Dresses,title: Beautiful color [SEP] review: I wanted to love this dress. i bought the cranberry color and it really is gorgeous. the cut was wrong for my body type. it is a bit roomier than expected. but i wear a size 36ddd so the seams on the chest hit at a very awkward spot. i'm sure it would look great on someone with a smaller chest
4,28,1,1,General,Dresses,Dresses,"title: Runs very big! [SEP] review: I was excited to see this dress as i'd bought the sparrow boiled wool sheath dress in xs last year and loved the fit. however, this dress does not fit the same way. the top fits fine, but the waist and the bottom are way too big. i laid it over my sparrow dress from last year, and the bottom is at least an inch wider (two inches, if you go by the total circumference). i'm planning to exchange for an xxs and see if that one fits better."
4,31,0,4,General,Dresses,Dresses,"title: Not flattering on straight figures [SEP] review: Unfortunately this dress ran very large on me (please no more vanity sizing!) and minimized what few curves i have. my store didn't have this in petite so i tried a regular xs - the neckline was low and there were at least 4 inches of space at the waist. it also flares out quite a bit, you can see this in the catalog shot. while this wasn't flattering on me, it may work better on curvier figures."
4,31,0,37,General,Dresses,Dresses,"title: Odd shape. [SEP] review: I agree with the review above regarding the sizing of the dress being large. i am a pear shape so i was worried the small would be tight in the hips however, the dress as a whole seemed large and not overly shapely. i'm 5'8"" but i also thought the dress was an inch or so shorter than i would prefer for a winter/fall dress. the dress is a very dark forest green (not black). see the photo for the shaping of the dress - it shoes that, due to the material, it oddly bulges in certain regions rather t"
4,31,0,25,General,Dresses,Dresses,"title: Undecided [SEP] review: The dress is great for pear shapes. however, i do feel it runs larger than typical retailer sizing. ordered a small (5'8"" 140#) and i still think it may be a bit big. the material is very comfortable, not too thick or thin. however, i feel the shaping on the bottom is a little bulky due to the fabric. see the attached photo."
4,33,1,0,General,Dresses,Dresses,"title: Absolutely beautiful, great quality [SEP] review: I bought this for an event, and when it arrived, i realized it was probably too dressy for my event. there are some large sparkly clusters of ""stones"" that are beautiful, but do make the dress more cocktail attire than i needed. if i had something to wear it to, i would keep it in a heartbeat. the fit is flattering and the quality is reminiscent of old school retailer pieces. there are cups already in the bodice, which is a huge plus imo. it's unique and beautiful!"
4,34,1,1,General,Dresses,Dresses,"title: Beautiful! [SEP] review: I bought this dress to wear to my graduation where i was receiving a degree in horticulture. i also just had a child a few weeks prior and was worried about sizing. the high waist worked well for the post pregnancy belly. i am 5'3"" and was typically around 130 lbs pre-pregnancy which was typically a 4 in dresses. i ordered a 6 petite in this dress and it was perfect! the only area that was sort of tight was the bosom but i am nursing so i expected as much. the petite length was perfect for my he"
4,35,0,2,General,Dresses,Dresses,"title: Beautiful dress, but ill-fitting [SEP] review: I wanted so much to love this dress, but unfortunately the fit was so poor i had to return it. the color of the dress (green) was lovely, and i liked the fabric and the overall design very much. i read the reviews and decided to order an extra small petite given that reviewers said the dress ran large; but even at that size the dress was too large, especially around the hips (which, for someone with an hourglass figure, is saying a lot!). the extra fabric around the hips belled out some, making"
4,36,1,0,General,Dresses,Dresses,title: Great look [SEP] review: This dress in coral is a beautiful color and awesome material. only problem is it runs a little big- i am a pretty true to size small and should've ordered an xs- the hips are a little wide and v in the neck a little low. instead of sending back i just wore a camisole and leggings w ankle boots and it looked very cute regardless.
4,39,1,0,General,Dresses,Dresses,"title: Nice dress but what's with the hips? [SEP] review: So i now own three sparrow wool sweater dresses (shyle, bressay, this one). they all have the same problem...hips cut large/wide past the waist! everything from the waist up fits great. i'm not sure who they are using as a fit model, but she must be curvy in that j.lo way (which is nice but not my shape). i love the green color, the warmth, the neckline, and the easy fit. i will wear a coat to hide the body of the skirt. and do more squats"
4,39,1,1,General,Dresses,Dresses,"title: Still thinking [SEP] review: As others have said, this dress does run large. i ordered the xxs petite, and ti isalmsot big on me (hips are wide, so at least, it is comfortable in width). material is a bit scratchier than i am used to s well.

color is great, and it looks nice when i see it on my stylist, who convinced me to hold on to it for a little... thinking about it.

my zipepr was also a little hard to work.

shorter than some other dresses..."
4,40,1,0,General,Dresses,Dresses,"title: Lovely dress [SEP] review: This is dress is great for an occasion - such as a wedding.

i wanted to keep this dress for such occasion - but there were 2 drawbacks. i ordered the dress online and when i opened the package, there it had some sort of oil/petroleum based product smell. the other drawback is the hips - it just flared out more than i wanted. i think that a belt would have solved that, but i usually don't find belts in my size.

as for the fit, it is true to size. i'm a true petite and the 00p fit great!"
4,41,1,12,General,Dresses,Dresses,title: none [SEP] review: I love this dress!!! this is perfect for ladies with curves. it does run a little large and i felt i could have worn both the small and the medium. i bought medium because it accentuated my curves without being too revealing. i bought the dark green which is a beautiful color and not see through at all...although i can guess the white might show a little but the white was not available in my store. this will be so perfect for the cold weather.
4,45,1,1,General,Dresses,Dresses,title: Beautiful romantic dress [SEP] review: I love the look on this dress - feels great for a romantic night out or for a party.
4,47,1,12,General,Dresses,Dresses,"title: Stunning!! [SEP] review: This dress is absolutely stunning!!! i'm 5 feet & curvy. it's flowy, lightweight & has some sparkle mixed in with the gorgeous print. it fit everywhere except when i got the zipper up to my chest. i'm a 36dd & it wasn't going to finish zipping. i was very sad! i even tried the biggest size they had - a 12 & it didn't work. if that zipper had been able to go all the way up & would own this dress."
4,48,1,0,General,Dresses,Dresses,title: none [SEP] review: Love this romantic girlie girl dress. so pretty.
4,49,1,4,General,Dresses,Dresses,"title: Dreamy dress! [SEP] review: This dress is a lovely creation! however, i had to buy it three times before finding the proper fit. it runs extremely large!! i am 5'4"", weighing around 128. i ordered a 4 petite the first time because others stated this dress ran small. ha! it was a sack!!! the 2 petite was little better. the 0 petite was perfect! but i have never worn a 0 petite in my entire life!

otherwise, this dress is an original that i will enjoy for many years to come! if only it had been made of silk, it would be un"
4,49,1,0,General,Dresses,Dresses,"title: Lovely with details [SEP] review: My daughter got this dress in the 10 and i got it in the 6 - we are both tall. also, she's a redhead and got the butterfly version and i'm blonde and got the pink. also, both of us are small-chested - and since there is no give in the fabric, i don't know where one would fit boobs if you have them. one thing i noted (and i am not happy about) is that the back is puckered up along the zipper. this has to be on purpose, and i don't really understand that detail, as it doesn't flatter me and it loo"
