Clothing ID,Division Name,Department Name,Class Name
118,General,Dresses,Dresses
119,General,Tops,Blouses
120,General Petite,Intimate,Lounge
121,General,Trend,Trend
122,General,Tops,Blouses
123,General,Jackets,Jackets
124,Initmates,Intimate,Legwear
125,General,Tops,Blouses
126,Initmates,Intimate,Lounge
127,General Petite,Intimate,Lounge
128,General,Tops,Knits
129,General,Dresses,Dresses
130,General,Jackets,Jackets
131,General,Bottoms,Shorts
132,Initmates,Intimate,Legwear
133,General,Dresses,Dresses
134,General,Tops,Blouses
135,General,Bottoms,Pants
136,General,Tops,Knits
137,Initmates,Intimate,Legwear
138,General,Bottoms,Pants
139,General,Tops,Fine gauge
140,General,Bottoms,Skirts
141,General,Tops,Fine gauge
142,General,Jackets,Jackets
143,Initmates,Intimate,Lounge
144,General,Tops,Blouses
145,General,Trend,Trend
146,General,Dresses,Dresses
147,General,Tops,Blouses
148,General,Dresses,Dresses
149,Initmates,Intimate,Lounge
150,Initmates,Intimate,Swim
151,General,Tops,Sweaters
152,General,Dresses,Dresses
153,General,Bottoms,Skirts
154,General,Tops,Fine gauge
155,General,Tops,Knits
156,General,Bottoms,Jeans
157,Initmates,Intimate,Legwear
158,General,Bottoms,Pants
159,General,Tops,Fine gauge
160,General,Tops,Blouses
161,General,Jackets,Outerwear
162,General,Tops,Blouses
163,General,Bottoms,Jeans
164,General,Dresses,Dresses
165,General,Bottoms,Skirts
166,General,Tops,Fine gauge
167,General Petite,Intimate,Lounge
168,General,Dresses,Dresses
169,General,Tops,Knits
170,General,Tops,Knits
171,General,Tops,Fine gauge
172,General,Tops,Blouses
173,General,Bottoms,Jeans
174,General,Tops,Knits
175,General,Tops,Blouses
176,General,Tops,Sweaters
177,General,Tops,Knits
178,General,Jackets,Outerwear
179,General,Bottoms,Skirts
180,General,Tops,Sweaters
181,General,Dresses,Dresses
182,General,Bottoms,Pants
183,Initmates,Intimate,Lounge
184,General,Bottoms,Pants
185,Initmates,Intimate,Lounge
186,General,Tops,Knits
187,General,Bottoms,Jeans
188,General Petite,Bottoms,Pants
189,General,Tops,Sweaters
190,General,Bottoms,Skirts
191,General,Tops,Fine gauge
192,General,Jackets,Outerwear
193,General,Bottoms,Skirts
194,General,Bottoms,Shorts
195,General,Bottoms,Pants
196,General,Dresses,Dresses
197,General Petite,Intimate,Lounge
198,General,Tops,Fine gauge
199,General,Dresses,Dresses
200,Initmates,Intimate,Lounge
201,General,Tops,Sweaters
202,General,Tops,Sweaters
203,General,Jackets,Outerwear
204,General,Tops,Knits
205,General,Bottoms,Pants
206,General Petite,Trend,Trend
207,General,Bottoms,Jeans
208,General,Tops,Knits
209,General,Dresses,Dresses
210,General,Jackets,Outerwear
211,General,Tops,Knits
212,General,Dresses,Dresses
213,General,Trend,Trend
214,General,Bottoms,Skirts
215,General,Jackets,Outerwear
216,General,Tops,Blouses
217,General,Dresses,Dresses
218,General,Bottoms,Pants
219,General,Bottoms,Skirts
220,General,Dresses,Dresses
221,General,Bottoms,Pants
222,General,Bottoms,Skirts
223,General,Dresses,Dresses
224,General,Jackets,Jackets
225,General,Tops,Blouses
226,General,Dresses,Dresses
227,General,Tops,Sweaters
228,General,Jackets,Outerwear
229,General,Bottoms,Jeans
230,General,Dresses,Dresses
231,General,Dresses,Dresses
232,General,Dresses,Dresses
